cab,0.12
cabin,-0.01
cabinet,-0.01
cable,0.1
cage,-1.02
cake,0.4
california,-0.11
call,0.29
called,-0.26
calling,-0.09
calls,0.26
calm,1.22
calming,1.33
calories,-0.02
calvin,-0.42
came,-0.07
camera,-0.01
cameras,0.07
cameron,0.46
camp,0.3
campaign,0.36
campbell,0.01
camps,0.19
campus,0.1
canada,-0.21
canadian,0.08
cancer,-0.62
candidate,0.26
candidates,0.37
candy,0.54
canine,-0.08
canned,0.59
canvas,0.22
canyon,0.27
cap,0.33
capable,-0.23
capacity,0.39
cape,0.4
capita,-0.45
capital,0.9
capitalist,-0.27
captain,-0.07
captive,-0.14
capture,-0.67
captured,-1.01
car,-0.04
carbon,-0.11
card,0.37
cardboard,-0.35
cardiovascular,-0.69
cards,0.58
care,-0.86
cared,-1.36
career,0.83
carefree,1.01
careful,0.36
carefully,0.09
careless,-0.6
cargo,-0.08
caribbean,0.21
carl,-0.27
carlos,0.01
carolina,-0.38
caroline,0.9
carpet,0.05
carried,0.04
carries,0.08
carry,0.1
carrying,0.35
cars,-0.11
cart,-0.09
carter,0.44
carved,0.22
case,-0.65
cases,-0.71
cash,0.57
cast,-2.01
castle,0.82
casual,2.22
cat,-1.86
catastrophic,-2.42
catch,-0.22
catching,-0.56
category,0.31
cats,-1.14
cattle,-0.73
caught,-0.2
cause,-1.2
caused,-1.51
causes,-1.21
causing,-1.69
cautious,-0.11
cave,-0.67
cavernous,0.29
cd,0.86
ceiling,-0.06
celebrate,2.39
celebration,2.21
celebrity,0.75
celestial,0.41
cell,0
cells,-0.44
cellular,-0.07
cemetery,0.83
centennial,-0.04
center,0.05
centers,-0.79
central,-0.2
cents,0.32
centuries,0.13
century,0.41
ceo,0.34
ceramic,0.53
ceremonial,-0.55
ceremony,1.69
certain,-0.26
certainly,-0.11
certified,-0.04
chain,0.15
chair,0.15
chairman,0.22
chairs,0.87
challenge,-1.05
challenged,-0.42
challenges,-0.98
challenging,-0.59
chamber,-0.12
champagne,-0.98
champion,0.02
championship,0.3
chance,0.26
chances,-0.32
change,-0.67
changed,-1.26
changes,-0.67
changing,-1.33
channel,0.09
chaos,-1.64
chaotic,-1.3
chapter,-0.29
character,0.49
characteristic,0.22
characters,-0.74
charge,-0.49
charged,-1.03
charges,-1.06
charismatic,0.63
charitable,0.24
charity,0.53
charles,0.45
charlie,0.24
charlotte,1.25
charm,1.11
charming,2.53
charred,-0.41
chart,0.86
chase,0.53
cheap,-1.76
cheaper,0.5
check,0.54
checked,-0.04
checking,0.23
checks,0.22
cheek,0.71
cheeks,0.52
cheerful,2.19
cheese,0.01
chef,0.51
chemical,-0.42
chemicals,-0.57
cherished,-0.4
cherokee,-0.4
cherry,0.57
chest,0.07
chevy,0.49
chic,1.03
chicago,-0.06
chicken,-0.05
chief,0.25
child,0.79
childhood,0.63
childish,-0.55
children,0.48
chill,0.52
chilling,-1.09
chilly,0.29
chin,0.3
china,-0.28
chinese,-0.26
chip,0.19
chipped,-0.06
chips,0.32
chocolate,0.65
choice,-0.02
choices,-0.33
cholesterol,-0.11
choose,0.36
choosing,0.69
chopped,-0.05
chose,0
chosen,0.06
chris,0.31
christmas,2.34
christopher,0.35
chronic,-1.2
chronicle,0.15
chubby,0.82
chunky,0.67
church,0.3
churches,-0.03
cia,-0.2
cigarette,-1.25
cigarettes,-1.73
circle,-0.27
circles,-2.8
circuit,-0.02
circular,0.14
circumstances,-2.59
cities,-1.13
citizen,-0.35
citizens,-0.54
city,-0.2
civic,-0.11
civil,-0.35
civilian,0.01
civilization,-0.68
civilized,0.41
claim,-0.12
claimed,-0.45
claims,-0.17
claire,0.93
clandestine,-0.03
clark,0.33
class,0.19
classes,0.23
classic,2.42
classical,0.22
classroom,0.23
clay,0.04
clean,-1.06
cleaning,-0.87
clear,1
cleared,0.05
clearer,0.14
clearing,0.2
clearly,-0.28
clerk,0.47
cleveland,-0.13
clever,0
click,-0.32
client,0.28
clients,0.48
cliff,0.36
climate,-0.78
climb,0.21
climbed,0.06
climbing,0.23
clinic,-0.32
clinical,-0.41
clock,-0.12
close,0.8
closed,-0.09
closely,-0.67
closer,-0.02
closest,0.23
closet,-0.32
closing,0.07
cloth,-0.13
clothes,0.02
clothing,0.48
cloud,-0.5
clouds,-0.41
cloudy,0.34
club,0.3
clubs,0.16
clumsy,-1.32
cluttered,0.35
coach,0.3
coaches,0.37
coal,-0.29
coarse,0.6
coast,-0.25
coastal,-0.71
coat,0.33
code,-0.08
cody,0.72
coffee,-0.65
coffin,-0.99
cognitive,-0.16
coherent,0.02
cold,-0.04
colder,0.57
cole,-2.19
collaborative,0.53
collapse,-1.21
collapsed,-1.05
collar,0.4
colleagues,0.49
collect,0.11
collected,0.03
collection,0.83
collective,-0.28
college,0.15
colleges,-0.06
collegiate,0.46
collins,-0.22
colonel,0.03
colonial,0.28
color,-0.02
colorado,-0.08
colored,0.53
colorful,0.71
colors,0.44
columbia,0.13
column,0.09
combat,-0.47
combination,-1.04
combine,0.19
combined,-0.14
come,0.16
comedy,0.65
comes,0.11
comfort,1.74
comfortable,2.22
comforting,0.86
comic,0.29
coming,-0.23
command,-0.22
commander,-0.12
commanding,0.14
comment,-0.55
comments,-0.23
commerce,0.02
commercial,-0.22
commission,0.05
commitment,1
committed,-1.78
committee,0.09
common,0.37
commonplace,-0.29
communal,0.12
communication,0.7
communications,0.23
communist,-0.28
communities,-1.39
community,-0.54
compact,1.03
companies,0.32
companion,1.06
company,0.41
comparable,0.34
comparative,0.05
compared,0.52
comparison,0.43
compassionate,0.97
compatible,0.75
compelling,0.09
compete,0.14
competent,0.77
competition,0.29
competitive,0.1
complained,-2.51
complete,-0.3
completed,-0.03
completely,-0.2
complex,-0.05
complicated,-0.37
components,-0.03
composite,1.35
comprehensive,0.25
compressed,-0.29
computer,0.15
computers,0.2
concentration,-0.73
concept,-0.06
concepts,-0.01
conceptual,0.04
concern,-0.38
concerned,-1.95
concerns,-0.9
concert,0.81
concluded,-0.56
conclusion,-0.28
concrete,0.78
condition,-0.63
conditions,-1.25
conduct,0.32
conducted,0.08
conference,0.04
confidence,0.51
confident,1.55
confidential,0.7
confirmed,-0.09
conflict,-0.32
confused,-2.26
confusing,-1.13
confusion,-0.81
congress,-0.06
congressional,0.21
connected,-0.12
connection,1.01
connections,0.69
conscious,-0.48
consciousness,-0.41
consecutive,0.12
consequences,-1.26
conservative,0.19
consider,-0.22
considerable,0.23
considered,-0.36
considering,-1.73
consistent,0.96
conspicuous,-0.16
constant,-0.51
constantly,-0.79
constitution,0.05
constitutional,-0.16
construction,-0.52
consulting,0.09
consumer,0.09
consumers,0.15
cont,-0.3
contact,0.63
contain,-0.04
contained,0.04
contains,-0.09
contemporary,0.58
content,0.3
contents,0.36
contest,0.51
context,-0.2
continental,-0.05
continue,0.01
continued,-0.03
continues,0.02
continuing,-0.65
continuous,-0.12
contract,0.11
contradictory,-1.01
contrast,-2.09
control,0.36
controlled,-0.28
controls,-0.06
controversial,0.12
convenient,1.79
convention,0.35
conventional,0
conversation,0.96
conversations,0.83
convince,-0.7
convinced,-1.01
convincing,0.39
cook,0.17
cooked,-0.16
cookies,0.72
cooking,0.04
cool,1.09
cooperative,0.72
coordinated,0.31
cop,-0.4
copies,0.19
cops,-0.43
copy,0.19
copyright,-0.2
corbin,-0.14
core,0.54
corn,0.14
corner,-0.06
corners,0.16
corporate,0.33
corps,-0.16
correct,0.48
corresponding,-0.31
corridor,-0.2
corrupt,-1.59
cosmetic,-0.76
cosmic,-0.26
cost,0.44
costly,-0.55
costs,0.35
cottage,1.1
cotton,0.3
couch,-0.13
council,0.04
count,-0.61
counted,-1.24
counter,-0.09
counting,-0.19
countless,-1.3
countries,-0.33
country,-0.85
county,-0.24
couple,-0.07
couples,0.97
courage,1.04
courageous,0.32
course,0.35
courses,0.19
court,-0.03
courts,-0.23
cousin,1.4
cousins,1.17
cover,0.32
coverage,0.31
covered,0.21
covering,-0.03
covers,0.14
covert,-0.33
coveted,1.43
cow,-0.85
cozy,2.08
crack,-0.41
cracked,-0.2
craft,0.23
craig,0.33
cramped,-0.02
crane,0.09
cranky,-1.64
crash,-2.05
crazy,-1.19
creaking,-0.68
cream,0.8
creamy,1.04
creasy,0.2
create,0.2
created,0.03
creating,0.39
creation,-1.72
creative,0.65
creature,-2.39
creatures,-2.42
credible,0.02
credit,0.41
creek,0.22
creepy,-2.17
crew,-0.68
cried,-0.06
cries,-0.51
crime,-1.89
crimes,-1.86
criminal,-1
crimson,0.64
crisis,-1.58
crisp,0.96
critical,0.5
criticism,-0.93
critics,-0.65
crooked,-0.65
crop,0.06
crops,0.12
cross,0.15
crossed,0.19
crossing,0.02
crowd,0.32
crowded,-0.01
crown,0.63
crucial,0.19
crude,-1.85
cruel,-2.59
cruise,1.22
crumbling,0.05
crumpled,-0.66
crushed,0
crushing,-1.66
cruz,-0.48
cry,-1.19
crying,-1.17
crystal,1.01
cuban,-0.03
cubic,-0.26
culinary,0.66
cultural,-0.08
culture,0.04
cunning,-1.29
cup,-0.02
cups,-0.02
curb,-0.08
cure,-0.6
curiosity,0.08
curious,-0.82
curled,-0.1
curly,1.05
current,0.01
currently,-0.49
curriculum,0.2
curt,0.24
curtain,-0.02
curve,1.42
curved,0.68
customary,0.33
customer,0.51
customers,0.18
cut,0.19
cute,1.62
cuts,0.04
cutting,0.14
