object_category,object_type,price_display,price_display_type,price_unit,number_of_rooms,floor,is_furnished,is_temporary,is_selling_furniture,zipcode,city,latitude,longitude,year_built,year_renovated,moving_date_type,reserved,livingspace
5,27,120.0,1,1,0.0,-2.0,0.0,0.0,0.0,1700,644,46.800291604851,7.144441234591,53.0,53.0,1,0.0,12.0
5,27,110.0,1,1,0.0,-1.0,0.0,0.0,0.0,8902,1832,47.378831609857,8.431441234593,38.94638748274269,38.94638748274269,1,0.0,0.0
0,25,2250.0,1,1,1.5,0.0,1.0,0.0,0.0,8134,24,47.321241606854,8.522071234591,5.0,5.0,1,0.0,33.0
0,2,2200.0,1,1,1.5,1.0,1.0,1.0,0.0,8405,1992,47.487271604851,8.766301234591,38.94638748274269,38.94638748274269,2,0.0,46.0
0,2,1890.0,1,1,1.0,0.0,1.0,0.0,0.0,5400,132,47.473251609857,8.308591230591,38.94638748274269,38.94638748274269,0,0.0,17.0
0,2,2090.0,1,1,1.5,0.0,1.0,0.0,0.0,5400,132,47.473251609857,8.308591230591,38.94638748274269,38.94638748274269,0,0.0,25.0
0,54,1760.0,1,1,0.0,0.0,0.0,0.0,0.0,6003,1042,47.043791600858,8.308461233595,38.94638748274269,38.94638748274269,0,0.0,13.0
0,54,1967.0,1,1,0.0,0.0,0.0,0.0,0.0,6003,1042,47.043791600858,8.308461233595,38.94638748274269,38.94638748274269,0,0.0,21.0
5,16,30.0,1,1,0.0,0.0,0.0,0.0,0.0,8280,913,47.640681604852,9.204041238597,15.0,15.0,0,0.0,0.0
4,53,87.0,0,4,0.0,0.0,0.0,0.0,0.0,8570,1948,47.565811606854,9.110191234591,29.0,9.0,0,0.0,270.0
5,39,90.0,1,1,0.0,0.0,0.0,0.0,0.0,9466,1628,47.261501603859,9.505601234591,38.94638748274269,38.94638748274269,0,0.0,0.0
0,2,1690.0,1,1,3.5,3.0,0.0,0.0,0.0,4900,955,47.222341606854,7.782101234599,34.0,34.0,0,0.0,137.0
5,16,40.0,1,1,0.0,0.0,0.0,0.0,0.0,8180,322,47.511441600858,8.539101234594,16.0,16.0,0,0.0,0.0
5,27,140.0,1,1,0.0,-1.0,0.0,0.0,0.0,9320,86,47.515911603859,9.431991234593,13.0,13.0,0,0.0,0.0
5,27,250.0,1,1,0.0,-1.0,0.0,0.0,0.0,8050,2065,47.414811608856,8.540861234598,38.94638748274269,38.94638748274269,0,0.0,0.0
4,37,220.0,0,4,0.0,0.0,0.0,0.0,0.0,2540,730,47.192971604851,7.396901234591,49.0,49.0,2,0.0,402.0
4,37,168.0,0,4,0.0,1.0,0.0,0.0,0.0,9463,1272,47.328191609857,9.566961236594,5.0,5.0,2,0.0,0.0
4,37,168.0,0,4,0.0,1.0,0.0,0.0,0.0,9463,1272,47.328191609857,9.566961236594,5.0,5.0,2,0.0,0.0
4,37,3400.0,1,1,0.0,1.0,0.0,0.0,0.0,6048,829,47.023001606854,8.308431236596,43.0,43.0,2,0.0,182.0
