pk,latitude,longitude,streetAddress
234856,47.444791604851,8.580881234593,"Schwimmbadstrasse 7, 8302 Kloten, Switzerland"
237956,46.224561605853,7.295521234591,"Rte Cantonale 4, 1964 Conthey, Switzerland"
238313,47.171831605853,7.575071234599,"Friedhofstrasse 10, 4563 Gerlafingen, Switzerland"
238321,45.952401603851,8.966541235591,"Via Arogno 2, 6816 Bissone, Switzerland"
241464,47.366731604851,8.492251239594,"Birmensdorferstrasse 543, 8055 Zürich, Switzerland"
241468,47.366731604851,8.492251239594,"Birmensdorferstrasse 543, 8055 Zürich, Switzerland"
241471,47.366731604851,8.492251239594,"Birmensdorferstrasse 543, 8055 Zürich, Switzerland"
241485,47.366731604851,8.492251239594,"Birmensdorferstrasse 543, 8055 Zürich, Switzerland"
244002,47.377081608856,8.523471239598,"Stauffacherstrasse 129, 8004 Zürich, Switzerland"
244003,47.377081608856,8.523471239598,"Stauffacherstrasse 129, 8004 Zürich, Switzerland"
244005,47.377081608856,8.523471239598,"Stauffacherstrasse 129, 8004 Zürich, Switzerland"
247089,47.354831604851,8.596891234595,"Wiesliacher 81, 8053 Zürich, Switzerland"
247749,46.296771606854,6.166411239596,"Rte de Suisse 7b, 1295 Mies, Switzerland"
247963,47.424721607855,8.522011234591,"Schwandenholzstrasse 220, 8046 Zürich, Switzerland"
249716,46.527241608856,6.573411235593,"Rue de la Mouline 2, 1022 Chavannes-près-Renens, Switzerland"
249717,46.527241608856,6.573411235593,"Rue de la Mouline 2, 1022 Chavannes-près-Renens, Switzerland"
251117,46.520821603851,6.622151234591,"Av. Louis-Ruchonnet 57, 1003 Lausanne, Switzerland"
251120,46.964541606854,7.376651234595,"Kappelenring 18A, 3032 Hinterkappelen, Switzerland"
251207,47.378031604851,8.586451236599,"Toblerstrasse 51 Privatklinik Bethanien (PKB) Dr. med. Karl Zweifel Orthopäde, 8044 Zürich, Switzerland"
251554,47.414281600858,8.549591234599,"Binzmühlestrasse 8, 8050 Zürich, Switzerland"
254123,47.425631604852,9.374531234592,"Oberer Graben 3, 9000 St. Gallen, Switzerland"
263560,46.154701606854,8.965881234591,"Via Serrai 10, 6592 Sant'Antonino, Switzerland"
267940,47.346501604851,8.340271234597,"Isenlaufstrasse 2, 5620 Bremgarten, Switzerland"
269820,47.485291604851,8.762561235599,"Hinterdorfstrasse 40, 8405 Winterthur, Switzerland"
270939,46.003631604852,8.938261234593,"Via Moncucchetto 19, 6900 Lugano, Switzerland"
270987,47.457221600858,8.441851237592,"Meierwiesenstrasse 45, 8107 Buchs, Switzerland"
271088,47.240781606854,8.926911234593,"Mühlestrasse 3, 8733 Eschenbach, Switzerland"
271094,47.056611608856,8.342571233596,"Schlösslihalde 31A, 6006 Luzern, Switzerland"
271095,47.056611608856,8.342571233596,"Schlösslihalde 31A, 6006 Luzern, Switzerland"
273898,46.906081603859,7.638931233595,"Gerbergasse 3, 3506 Grosshöchstetten, Switzerland"
273913,47.053241606854,7.620581235596,"Bernstrasse 27, 3400 Burgdorf, Switzerland"
274219,46.947091608856,7.434981234597,"Laupenstrasse 17, 3008 Bern, Switzerland"
274305,46.177751603851,6.072511234593,"Chem. Sous-le-Têt 20, 1233 Bernex, Switzerland"
278209,46.236461600858,6.147981234594,"Chem. des Cornillons 92, 1292 Pregny-Chambésy, Switzerland"
278211,46.236461600858,6.147981234594,"Chem. des Cornillons 92, 1292 Pregny-Chambésy, Switzerland"
281537,47.260431604851,7.002771234595,"Chem. du Finage 8, 2350 Saignelégier, Switzerland"
